Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u1	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u2	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	JuliusTerpstra	Terpstra, Julius	M	1989	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u3	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	Esther-MirjamSent	Sent, Esther-Mirjam	F	1967	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u4	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u5	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	Esther-MirjamSent	Sent, Esther-Mirjam	F	1967	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u6	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u7	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	Esther-MirjamSent	Sent, Esther-Mirjam	F	1967	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u8	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	LiesbethKneppers-Heijnert	Kneppers-Heijnert, Liesbeth	F	1951	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u9	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u10	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TuurElzinga	Elzinga, Tuur	M	1969	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u11	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-05-26-eerstekamer-9	ParlaMint-NL_2015-05-26-eerstekamer-9.u12	Report of the meeting of the Dutch Upper House, Meeting 32, Session 9 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 32	Sitting 2015-05-26	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
