Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
