Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmaNeppérus	Neppérus, Helma	F	1950	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u14	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SjoeraDikkers	Dikkers, Sjoera	F	1969	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u15	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	LeendertdeLange	de Lange, Leendert	M	1972	
ParlaMint-NL-en_2015-04-14-tweedekamer-8	ParlaMint-NL_2015-04-14-tweedekamer-8.u16	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2015-04-14)	2015-04-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 75	Sitting 2015-04-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
