Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0002par0045	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Davutoğlu	Davutoğlu, Ahmet	M	1959	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0003par0071	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0004par0075	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kemal.Kılıçdaroğlu	Kılıçdaroğlu, Kemal	M	1948	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0005par0088	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0006par0092	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Çağlar.Demirel	Demirel, Çağlar	F	1969	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0007par0111	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0008par0114	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Devlet.Bahçeli	Bahçeli, Devlet	M	1948	
ParlaMint-TR-en_2016-04-23-tbmm-T26	tbmm-2016-04-23sit01spe0009par0130	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 79	2016-04-23	Unicameralism	26	1	79	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
