Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0002par0109	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Binali.Yıldırım	Yıldırım, Binali	M	1955	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0003par0135	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0004par0150	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kemal.Kılıçdaroğlu	Kılıçdaroğlu, Kemal	M	1948	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0005par0177	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0006par0181	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Devlet.Bahçeli	Bahçeli, Devlet	M	1948	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0007par0197	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0008par0201	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	İdris.Baluken	Baluken, İdris	M	1976	
ParlaMint-TR-en_2016-07-16-tbmm-T26	tbmm-2016-07-16sit01spe0009par0216	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 1, Session 114	2016-07-16	Unicameralism	26	1	114	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
