Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u1	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u2	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u3	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u4	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u5	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	SaraGiménezGiménez	Giménez Giménez, Sara	F	1977	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u6	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u7	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	SaraGiménezGiménez	Giménez Giménez, Sara	F	1977	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u8	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u9	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u10	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u11	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	EH Bildu	Euskal Herria Bildu	Opposition	Centre-left to left	IñakiRuizDePinedoUndiano	Ruiz De Pinedo Undiano, Iñaki	M	1954	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u12	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u13	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	ÍñigoBarandiaranBenito	Barandiaran Benito, Íñigo	M	1959	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u14	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u15	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	BNG	Bloque Nacionalista Galego	Opposition	Left	NéstorRegoCandamil	Rego Candamil, Néstor	M	1962	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u16	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u17	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centre-right	ConcepCañadellSalvia	Cañadell Salvia, Concep	F	1977	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u18	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u19	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	PilarCalvoGómez	Calvo Gómez, Pilar	F	1963	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u20	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2022-03-08-CD220308	ParlaMint-ES_2022-03-08-CD220308.u21	Plenary session 157 (2022-03-08)	2022-03-08	Lower house	Legislatura XIV	Sesión plenaria núm. 157	-	2022-03-08	-	COVID,War	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	FrancescXavierEritjaCiuró	Eritja Ciuró, Francesc Xavier	M	1970	
