Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u1	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u2	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	TE	¡Teruel Existe!	Opposition	Big tent	TomásGuitarteGimeno	Guitarte Gimeno, Tomás	M	1961	
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u3	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u4	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	TE	¡Teruel Existe!	Opposition	Big tent	TomásGuitarteGimeno	Guitarte Gimeno, Tomás	M	1961	
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u5	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u6	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u7	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u8	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	PRC	Partido Regionalista de Cantabria	Opposition	Centre to centre-left	JoséMaríaMazónRamos	Mazón Ramos, José María	M	1951	
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u9	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u10	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u11	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u12	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	MaríaFernándezPérez	Fernández Pérez, María	M	1975	
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u13	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-07-14-CD220714	ParlaMint-ES_2022-07-14-CD220714.u14	Plenary session 195 (2022-07-14)	2022-07-14	Lower house	Legislatura XIV	Sesión plenaria núm. 195 extraordinaria	-	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Left to far-left	AlbertBotranPahissa	Botran Pahissa, Albert	M	1984	
