Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u1	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u2	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BolañosGarcía	García, Bolaños	M	1975	
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u3	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u4	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BolañosGarcía	García, Bolaños	M	1975	
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u5	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u6	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	EdmundoBalFrancés	Bal Francés, Edmundo	M	1967	
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u7	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u8	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	EdmundoBalFrancés	Bal Francés, Edmundo	M	1967	
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u9	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u10	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Regular	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centre-right	GenísBoadellaEsteve	Boadella Esteve, Genís	M	1979	
ParlaMint-ES-en_2022-11-23-CD221123	ParlaMint-ES_2022-11-23-CD221123.u11	Plenary session 216 (2022-11-23)	2022-11-23	Lower house	Legislatura XIV	Sesión plenaria núm. 216	-	2022-11-23	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
