Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58312	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58313	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58314	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	TodorovićDragan	Todorović, Dragan	M	1953	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58315	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58316	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	PastorBalint	Pastor, Balint	M	1979	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58317	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58318	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	LDP	Liberalno-demokratska partija	Coalition	Centre	ĐurićBojan	Đurić, Bojan	M	1978	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58319	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58320	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Coalition	Right	AligrudićMiloš	Aligrudić, Miloš	M	1964	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58321	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58322	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58323	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58324	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	LDP	Liberalno-demokratska partija	Coalition	Centre	ĐurićBojan	Đurić, Bojan	M	1978	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58325	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58326	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58327	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58328	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	PUPS	Partija ujedinjenih penzionera Srbije	Coalition	Right	ČolakovićMomo	Čolaković, Momo	M	1940	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58329	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58330	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	PetronijevićMilisav	Petronijević, Milisav	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58331	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58332	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58333	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58334	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Coalition	Right	PalalićJovan	Palalić, Jovan	M	1971	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58335	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58336	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58337	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58338	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58339	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58340	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58341	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58342	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58343	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58344	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58345	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58346	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58347	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58348	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58349	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58350	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58351	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2011-07-14-0	ParlaMint-RS_2011-07-14-0.u58352	Term 8, Meeting v6	2011-07-14	Unicameralism	8. mandat	-	Zasedanje v6	2011-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
