Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2014-10-31-20141-M10	ParlaMint-DK_20141031100001	Hansard of the session of the Danish Parliament (Folketinget), 20141, M10 (2014-10-31), final version	2014-10-31	Unicameralism	Regeringen Helle Thorning-Schmidt II	20141	M10	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	LykketoftMogens	Lykketoft, Mogens	M	1946	
ParlaMint-DK-en_2014-10-31-20141-M10	ParlaMint-DK_20141031100100	Hansard of the session of the Danish Parliament (Folketinget), 20141, M10 (2014-10-31), final version	2014-10-31	Unicameralism	Regeringen Helle Thorning-Schmidt II	20141	M10	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	LykketoftMogens	Lykketoft, Mogens	M	1946	
ParlaMint-DK-en_2014-10-31-20141-M10	ParlaMint-DK_20141031100112	Hansard of the session of the Danish Parliament (Folketinget), 20141, M10 (2014-10-31), final version	2014-10-31	Unicameralism	Regeringen Helle Thorning-Schmidt II	20141	M10	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	LykketoftMogens	Lykketoft, Mogens	M	1946	
ParlaMint-DK-en_2014-10-31-20141-M10	ParlaMint-DK_20141031100141	Hansard of the session of the Danish Parliament (Folketinget), 20141, M10 (2014-10-31), final version	2014-10-31	Unicameralism	Regeringen Helle Thorning-Schmidt II	20141	M10	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	LykketoftMogens	Lykketoft, Mogens	M	1946	
