Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24528	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24529	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	GlavaševićBojan	Glavašević, Bojan	M	1984	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24530	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24531	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	HNS	Hrvatska narodna stranka	Coalition	Centre to centre-left	PuhMarija	Puh, Marija	F	1985	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24532	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24534	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	GlavaševićBojan	Glavašević, Bojan	M	1984	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24535	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24536	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	HNS	Hrvatska narodna stranka	Coalition	Centre to centre-left	PuhMarija	Puh, Marija	F	1985	
ParlaMint-HR-en_2017-01-27-0	ParlaMint-HR_2017-01-27-0.u24537	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-27	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
