Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24488	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	PH	Promijenimo Hrvatsku!	Coalition	-	LovrinovićIvan	Lovrinović, Ivan	M	1960	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24489	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24490	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	PernarIvan	Pernar, Ivan	M	1985	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24491	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24492	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24493	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24494	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	HSU	Hrvatska stranka umirovljenika	Coalition	Centre-left	HreljaSilvano	Hrelja, Silvano	M	1958	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24495	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24496	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BačićBranko	Bačić, Branko	M	1959	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24497	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24499	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	PH	Promijenimo Hrvatsku!	Coalition	-	LovrinovićIvan	Lovrinović, Ivan	M	1960	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24500	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24501	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	PernarIvan	Pernar, Ivan	M	1985	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24502	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24503	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24504	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24505	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	HSU	Hrvatska stranka umirovljenika	Coalition	Centre-left	HreljaSilvano	Hrelja, Silvano	M	1958	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24506	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24507	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BačićBranko	Bačić, Branko	M	1959	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24508	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2017-01-25-0	ParlaMint-HR_2017-01-25-0.u24509	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 3	2017-01-25	Unicameralism	9. mandat	-	Zasedanje 3	2017-05-05	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	GlavaševićBojan	Glavašević, Bojan	M	1984	
