Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-56	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-60	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-62	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-64	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-67	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-70	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-71	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-73	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-76	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-79	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-81	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-83	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-86	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
