Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-220	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-224	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373324	Granlund, Marie	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-226	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-227	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4958187	Karlsson, Ulrika	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-232	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-237	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4958187	Karlsson, Ulrika	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-239	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-242	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5750886	Gamov, Pavel	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-247	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-250	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5750886	Gamov, Pavel	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-252	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-255	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q271230	Romson, Åsa	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-258	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-261	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q271230	Romson, Åsa	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-263	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-265	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q3058054	Erlandsson, Eskil	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-268	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-272	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q3058054	Erlandsson, Eskil	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-274	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-275	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q2029704	Sjöstedt, Jonas	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-279	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-283	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q2029704	Sjöstedt, Jonas	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-286	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-290	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4933704	Acketoft, Tina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-294	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-301	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4933704	Acketoft, Tina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-304	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-306	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-309	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-312	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-315	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-317	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6169540	Schulte, Fredrik	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-322	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-328	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6169540	Schulte, Fredrik	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-331	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-334	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18923356	Karlsson, Jesper Skalberg	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-337	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-340	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18923356	Karlsson, Jesper Skalberg	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-342	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-344	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18451520	Redar, Lawen	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-346	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
