Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-EMF9yj2vQ7EpufxRTerN5T	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q271230	Romson, Åsa	F	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-SApCGjBMuFs2iwreDkdsug	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5887280	Johansson, Ola	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-17	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q271230	Romson, Åsa	F	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-20	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5887280	Johansson, Ola	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-31	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q271230	Romson, Åsa	F	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-37	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5887280	Johansson, Ola	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-42	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q271230	Romson, Åsa	F	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-43	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-52	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q5801464	Henriksson, Stig	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-64	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-72	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q5801464	Henriksson, Stig	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-81	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-88	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q5801464	Henriksson, Stig	M	-	
ParlaMint-SE-en_2016-05-20-prot-201516--109	i-ced46fb5a57ca080-92	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 109	2016-05-20	Unicameralism	2015/16	-	-	2015/16--109	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
