Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-11-18-prot-201617--31	i-20ba58f4d1759471-2	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 31	2016-11-18	Unicameralism	2016/17	-	-	2016/17--31	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-11-18-prot-201617--31	i-20ba58f4d1759471-10	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 31	2016-11-18	Unicameralism	2016/17	-	-	2016/17--31	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2016-11-18-prot-201617--31	i-20ba58f4d1759471-20	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 31	2016-11-18	Unicameralism	2016/17	-	-	2016/17--31	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-11-18-prot-201617--31	i-20ba58f4d1759471-27	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 31	2016-11-18	Unicameralism	2016/17	-	-	2016/17--31	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2016-11-18-prot-201617--31	i-20ba58f4d1759471-34	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 31	2016-11-18	Unicameralism	2016/17	-	-	2016/17--31	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-11-18-prot-201617--31	i-20ba58f4d1759471-42	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 31	2016-11-18	Unicameralism	2016/17	-	-	2016/17--31	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2016-11-18-prot-201617--31	i-20ba58f4d1759471-47	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 31	2016-11-18	Unicameralism	2016/17	-	-	2016/17--31	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
