Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-12-02-prot-201617--39	i-13631b5f34ecda94-6	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 39	2016-12-02	Unicameralism	2016/17	-	-	2016/17--39	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4725739	Kuhnke, Alice Bah	F	-	
ParlaMint-SE-en_2016-12-02-prot-201617--39	i-13631b5f34ecda94-11	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 39	2016-12-02	Unicameralism	2016/17	-	-	2016/17--39	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1593545	Lavesson, Olof	M	-	
ParlaMint-SE-en_2016-12-02-prot-201617--39	i-Ackg2gM3xWFQJrLPf4s4p2	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 39	2016-12-02	Unicameralism	2016/17	-	-	2016/17--39	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4725739	Kuhnke, Alice Bah	F	-	
ParlaMint-SE-en_2016-12-02-prot-201617--39	i-13631b5f34ecda94-24	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 39	2016-12-02	Unicameralism	2016/17	-	-	2016/17--39	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1593545	Lavesson, Olof	M	-	
ParlaMint-SE-en_2016-12-02-prot-201617--39	i-13631b5f34ecda94-35	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 39	2016-12-02	Unicameralism	2016/17	-	-	2016/17--39	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4725739	Kuhnke, Alice Bah	F	-	
ParlaMint-SE-en_2016-12-02-prot-201617--39	i-13631b5f34ecda94-40	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 39	2016-12-02	Unicameralism	2016/17	-	-	2016/17--39	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1593545	Lavesson, Olof	M	-	
ParlaMint-SE-en_2016-12-02-prot-201617--39	i-13631b5f34ecda94-45	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 39	2016-12-02	Unicameralism	2016/17	-	-	2016/17--39	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4725739	Kuhnke, Alice Bah	F	-	
