Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-13-prot-201617--2	i-BxrEM8YxPzxpQ64XhFkYzb	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 2	2016-09-13	Unicameralism	2016/17	-	-	2016/17--2	-	Reference	English	Regular	notMP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3369220	Ahlin, Urban	M	-	
ParlaMint-SE-en_2016-09-13-prot-201617--2	i-e04f2c8604a189ab-0	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 2	2016-09-13	Unicameralism	2016/17	-	-	2016/17--2	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2016-09-13-prot-201617--2	i-e04f2c8604a189ab-9	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 2	2016-09-13	Unicameralism	2016/17	-	-	2016/17--2	-	Reference	English	Regular	notMP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3369220	Ahlin, Urban	M	-	
ParlaMint-SE-en_2016-09-13-prot-201617--2	i-ZDwH3TUxRMHaUPQkEgwx3	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 2	2016-09-13	Unicameralism	2016/17	-	-	2016/17--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-13-prot-201617--2	i-e04f2c8604a189ab-67	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 2	2016-09-13	Unicameralism	2016/17	-	-	2016/17--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2016-09-13-prot-201617--2	i-e04f2c8604a189ab-75	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 2	2016-09-13	Unicameralism	2016/17	-	-	2016/17--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
