Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2014-09-06-tbmm-T24	tbmm-2014-09-06sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 136	2014-09-06	Unicameralism	24	4	136	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
ParlaMint-TR-en_2014-09-06-tbmm-T24	tbmm-2014-09-06sit01spe0002par0026	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 136	2014-09-06	Unicameralism	24	4	136	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Davutoğlu	Davutoğlu, Ahmet	M	1959	
ParlaMint-TR-en_2014-09-06-tbmm-T24	tbmm-2014-09-06sit01spe0003par0035	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 136	2014-09-06	Unicameralism	24	4	136	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Sadık.Yakut	Yakut, Sadık	M	1956	
