Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2016-08-15-20151-M109	ParlaMint-DK_20160815095948	Hansard of the session of the Danish Parliament (Folketinget), 20151, M109 (2016-08-15), final version	2016-08-15	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M109	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-15-20151-M109	ParlaMint-DK_20160815100016	Hansard of the session of the Danish Parliament (Folketinget), 20151, M109 (2016-08-15), final version	2016-08-15	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M109	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-15-20151-M109	ParlaMint-DK_20160815100038	Hansard of the session of the Danish Parliament (Folketinget), 20151, M109 (2016-08-15), final version	2016-08-15	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M109	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
