Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2016-05-03-20151-M85	ParlaMint-DK_20160503100010	Hansard of the session of the Danish Parliament (Folketinget), 20151, M85 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M85	-	-	Reference	English	Chairperson	MP	notMinister	LA	Liberal Alliance	-	Centre-right to right	BockMette	Bock, Mette	F	1957	
ParlaMint-DK-en_2016-05-03-20151-M85	ParlaMint-DK_20160503100015	Hansard of the session of the Danish Parliament (Folketinget), 20151, M85 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M85	-	-	Reference	English	Chairperson	MP	notMinister	LA	Liberal Alliance	-	Centre-right to right	BockMette	Bock, Mette	F	1957	
ParlaMint-DK-en_2016-05-03-20151-M85	ParlaMint-DK_20160503100033	Hansard of the session of the Danish Parliament (Folketinget), 20151, M85 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M85	-	-	Reference	English	Chairperson	MP	notMinister	LA	Liberal Alliance	-	Centre-right to right	BockMette	Bock, Mette	F	1957	
