Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2016-10-05-20161-M2	ParlaMint-DK_20161005130005	Hansard of the session of the Danish Parliament (Folketinget), 20161, M2 (2016-10-05), final version	2016-10-05	Unicameralism	Regeringen Lars Løkke Rasmussen II	20161	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-10-05-20161-M2	ParlaMint-DK_20161005130205	Hansard of the session of the Danish Parliament (Folketinget), 20161, M2 (2016-10-05), final version	2016-10-05	Unicameralism	Regeringen Lars Løkke Rasmussen II	20161	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-10-05-20161-M2	ParlaMint-DK_20161005130252	Hansard of the session of the Danish Parliament (Folketinget), 20161, M2 (2016-10-05), final version	2016-10-05	Unicameralism	Regeringen Lars Løkke Rasmussen II	20161	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
