Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503214505	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KlintKarenJ	Klint, Karen J.	F	1947	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503214510	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KlintKarenJ	Klint, Karen J.	F	1947	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503214525	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KlintKarenJ	Klint, Karen J.	F	1947	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503214556	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Regular	MP	notMinister	EL	Enhedslisten	Opposition	Left to far-left	RasmussenSørenEgge	Rasmussen, Søren Egge	M	1961	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503214737	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KlintKarenJ	Klint, Karen J.	F	1947	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503214743	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Regular	MP	notMinister	ALT	Alternativet	Opposition	Centre to centre-left	PollChristian	Poll, Christian	M	1965	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503215050	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KlintKarenJ	Klint, Karen J.	F	1947	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503215059	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KlintKarenJ	Klint, Karen J.	F	1947	
ParlaMint-DK-en_2016-05-03-20151-M87	ParlaMint-DK_20160503215305	Hansard of the session of the Danish Parliament (Folketinget), 20151, M87 (2016-05-03), final version	2016-05-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M87	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KlintKarenJ	Klint, Karen J.	F	1947	
