Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2013-11-22-m0	ParlaMint-UA_2013-11-22-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2013-11-22, n0	2013-11-22	Unicameralism	7	3	-	2013-11-22	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2013-11-22-m0	ParlaMint-UA_2013-11-22-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2013-11-22, n0	2013-11-22	Unicameralism	7	3	-	2013-11-22	-	Reference	English	Regular	notMP	notMinister	PR	Party of Regions	-	Centre	МиколаЯновичАзаров.1947	Azarov, Mykola Janovyč	M	1947	
ParlaMint-UA-en_2013-11-22-m0	ParlaMint-UA_2013-11-22-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2013-11-22, n0	2013-11-22	Unicameralism	7	3	-	2013-11-22	-	Reference	English	Regular	MP	notMinister	frUDAR	Ukrainian Democratic Alliance for Reform (UDAR) Faction	Opposition	Centre	ПавлоВалерійовичРозенко.1970	Rozenko, Pavlo Valerijovyč	M	1970	
ParlaMint-UA-en_2013-11-22-m0	ParlaMint-UA_2013-11-22-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2013-11-22, n0	2013-11-22	Unicameralism	7	3	-	2013-11-22	-	Reference	English	Regular	notMP	notMinister	PR	Party of Regions	-	Centre	МиколаЯновичАзаров.1947	Azarov, Mykola Janovyč	M	1947	
ParlaMint-UA-en_2013-11-22-m0	ParlaMint-UA_2013-11-22-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2013-11-22, n0	2013-11-22	Unicameralism	7	3	-	2013-11-22	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
