Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2018-04-26-0	ParlaMint-BA_2018-04-26-0.u4167	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 39	2018-04-26	Unicameralism	7. mandat	-	Sjednica 39	2018-04-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2018-04-26-0	ParlaMint-BA_2018-04-26-0.u4168	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 39	2018-04-26	Unicameralism	7. mandat	-	Sjednica 39	2018-04-26	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	NinkovićBojan	Ninković, Bojan	U	-	
ParlaMint-BA-en_2018-04-26-0	ParlaMint-BA_2018-04-26-0.u4169	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 39	2018-04-26	Unicameralism	7. mandat	-	Sjednica 39	2018-04-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
