Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RudmerHeerema	Heerema, Rudmer	M	1978	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u13	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u14	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u15	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u16	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u17	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u18	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u19	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u20	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-12-08-tweedekamer-4	ParlaMint-NL_2016-12-08-tweedekamer-4.u21	Report of the meeting of the Dutch Lower House, Meeting 33, Session 4 (2016-12-08)	2016-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 33	Sitting 2016-12-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
