Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2016-10-11-tweedekamer-3	ParlaMint-NL_2016-10-11-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 10, Session 3 (2016-10-11)	2016-10-11	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 10	Sitting 2016-10-11	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
