Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u1	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u2	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u3	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u4	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u5	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u6	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u7	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u8	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u9	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u10	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u11	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u12	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u13	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u14	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u15	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u16	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u17	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u18	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u19	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u20	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u21	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-03-22-eerstekamer-8	ParlaMint-NL_2016-03-22-eerstekamer-8.u22	Report of the meeting of the Dutch Upper House, Meeting 24, Session 8 (2016-03-22)	2016-03-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 24	Sitting 2016-03-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
