Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-03-15-tweedekamer-6	ParlaMint-NL_2016-03-15-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 64, Session 6 (2016-03-15)	2016-03-15	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 64	Sitting 2016-03-15	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
