Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-01-12-tweedekamer-2	ParlaMint-NL_2016-01-12-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 40, Session 2 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2016-01-12-tweedekamer-2	ParlaMint-NL_2016-01-12-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 40, Session 2 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-01-12-tweedekamer-2	ParlaMint-NL_2016-01-12-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 40, Session 2 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2016-01-12-tweedekamer-2	ParlaMint-NL_2016-01-12-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 40, Session 2 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-01-12-tweedekamer-2	ParlaMint-NL_2016-01-12-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 40, Session 2 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2016-01-12-tweedekamer-2	ParlaMint-NL_2016-01-12-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 40, Session 2 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
