Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u1	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u2	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	NicoSchrijver	Schrijver, Nico	M	1954	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u3	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u4	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u5	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u6	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u7	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u8	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u9	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u10	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2016-06-28-eerstekamer-5	ParlaMint-NL_2016-06-28-eerstekamer-5.u11	Report of the meeting of the Dutch Upper House, Meeting 36, Session 5 (2016-06-28)	2016-06-28	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 36	Sitting 2016-06-28	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
