Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MachieldeGraaf	de Graaf, Machiel	M	1969	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-05-17-tweedekamer-4	ParlaMint-NL_2016-05-17-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 83, Session 4 (2016-05-17)	2016-05-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 83	Sitting 2016-05-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
