Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PaulUlenbelt	Ulenbelt, Paul	M	1952	
ParlaMint-NL-en_2016-02-16-tweedekamer-5	ParlaMint-NL_2016-02-16-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 55, Session 5 (2016-02-16)	2016-02-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 55	Sitting 2016-02-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
