Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-12-20-eerstekamer-13	ParlaMint-NL_2016-12-20-eerstekamer-13.u1	Report of the meeting of the Dutch Upper House, Meeting 13, Session 13 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 13	Sitting 2016-12-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-12-20-eerstekamer-13	ParlaMint-NL_2016-12-20-eerstekamer-13.u2	Report of the meeting of the Dutch Upper House, Meeting 13, Session 13 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TonRombouts	Rombouts, Ton	M	1951	
ParlaMint-NL-en_2016-12-20-eerstekamer-13	ParlaMint-NL_2016-12-20-eerstekamer-13.u3	Report of the meeting of the Dutch Upper House, Meeting 13, Session 13 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	BobRuers	Ruers, Bob	M	1947	
ParlaMint-NL-en_2016-12-20-eerstekamer-13	ParlaMint-NL_2016-12-20-eerstekamer-13.u4	Report of the meeting of the Dutch Upper House, Meeting 13, Session 13 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
ParlaMint-NL-en_2016-12-20-eerstekamer-13	ParlaMint-NL_2016-12-20-eerstekamer-13.u5	Report of the meeting of the Dutch Upper House, Meeting 13, Session 13 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 13	Meeting 13	Sitting 2016-12-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
