Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u12	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u13	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u14	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u15	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u16	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u17	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u18	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u19	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-03-08-tweedekamer-6	ParlaMint-NL_2016-03-08-tweedekamer-6.u20	Report of the meeting of the Dutch Lower House, Meeting 61, Session 6 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
