Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u1	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u2	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u3	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	Hans-MartinDon	Don, Hans-Martin	M	1959	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u4	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u5	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	Hans-MartinDon	Don, Hans-Martin	M	1959	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u6	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u7	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	Hans-MartinDon	Don, Hans-Martin	M	1959	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u8	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JopieNooren	Nooren, Jopie	F	1961	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u9	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	Hans-MartinDon	Don, Hans-Martin	M	1959	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u10	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u11	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JopieNooren	Nooren, Jopie	F	1961	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u12	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	Hans-MartinDon	Don, Hans-Martin	M	1959	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u13	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u14	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	Hans-MartinDon	Don, Hans-Martin	M	1959	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u15	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JopieNooren	Nooren, Jopie	F	1961	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u16	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u17	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AnneFlierman	Flierman, Anne	M	1955	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u18	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	Hans-MartinDon	Don, Hans-Martin	M	1959	
ParlaMint-NL-en_2016-12-20-eerstekamer-12	ParlaMint-NL_2016-12-20-eerstekamer-12.u19	Report of the meeting of the Dutch Upper House, Meeting 13, Session 12 (2016-12-20)	2016-12-20	Upper house	Meeting of the 35th Eerste Kamer	Session 12	Meeting 13	Sitting 2016-12-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
