Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-38	ParlaMint-NL_2016-12-22-tweedekamer-38.u11	Report of the meeting of the Dutch Lower House, Meeting 39, Session 38 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 38	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
