Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u1	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u2	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u3	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u4	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LeaBouwmeester	Bouwmeester, Lea	F	1979	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u5	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u6	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LeaBouwmeester	Bouwmeester, Lea	F	1979	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u7	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u8	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u9	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u10	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u11	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u12	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u13	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u14	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u15	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u16	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2016-11-29-tweedekamer-33	ParlaMint-NL_2016-11-29-tweedekamer-33.u17	Report of the meeting of the Dutch Lower House, Meeting 28, Session 33 (2016-11-29)	2016-11-29	Lower house	Meeting of the 28th Tweede Kamer	Session 33	Meeting 28	Sitting 2016-11-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
