Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-10-25-eerstekamer-9	ParlaMint-NL_2016-10-25-eerstekamer-9.u1	Report of the meeting of the Dutch Upper House, Meeting 4, Session 9 (2016-10-25)	2016-10-25	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 4	Sitting 2016-10-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-10-25-eerstekamer-9	ParlaMint-NL_2016-10-25-eerstekamer-9.u2	Report of the meeting of the Dutch Upper House, Meeting 4, Session 9 (2016-10-25)	2016-10-25	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 4	Sitting 2016-10-25	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	ChristineTeunissen	Teunissen, Christine	F	1985	
ParlaMint-NL-en_2016-10-25-eerstekamer-9	ParlaMint-NL_2016-10-25-eerstekamer-9.u3	Report of the meeting of the Dutch Upper House, Meeting 4, Session 9 (2016-10-25)	2016-10-25	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 4	Sitting 2016-10-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-10-25-eerstekamer-9	ParlaMint-NL_2016-10-25-eerstekamer-9.u4	Report of the meeting of the Dutch Upper House, Meeting 4, Session 9 (2016-10-25)	2016-10-25	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 4	Sitting 2016-10-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
