Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-04-19-tweedekamer-6	ParlaMint-NL_2016-04-19-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 78, Session 6 (2016-04-19)	2016-04-19	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 78	Sitting 2016-04-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
