Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-14-tweedekamer-4	ParlaMint-NL_2016-06-14-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 95, Session 4 (2016-06-14)	2016-06-14	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 95	Sitting 2016-06-14	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2016-06-14-tweedekamer-4	ParlaMint-NL_2016-06-14-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 95, Session 4 (2016-06-14)	2016-06-14	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 95	Sitting 2016-06-14	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-14-tweedekamer-4	ParlaMint-NL_2016-06-14-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 95, Session 4 (2016-06-14)	2016-06-14	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 95	Sitting 2016-06-14	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2016-06-14-tweedekamer-4	ParlaMint-NL_2016-06-14-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 95, Session 4 (2016-06-14)	2016-06-14	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 95	Sitting 2016-06-14	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-14-tweedekamer-4	ParlaMint-NL_2016-06-14-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 95, Session 4 (2016-06-14)	2016-06-14	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 95	Sitting 2016-06-14	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2016-06-14-tweedekamer-4	ParlaMint-NL_2016-06-14-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 95, Session 4 (2016-06-14)	2016-06-14	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 95	Sitting 2016-06-14	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
