Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u1	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u2	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u3	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u4	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u5	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u6	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u7	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u8	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u9	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u10	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u11	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-11-01-tweedekamer-26	ParlaMint-NL_2016-11-01-tweedekamer-26.u12	Report of the meeting of the Dutch Lower House, Meeting 16, Session 26 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 26	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
