Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JacquesMonasch	Monasch, Jacques	M	1962	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2016-03-22-tweedekamer-6	ParlaMint-NL_2016-03-22-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 67, Session 6 (2016-03-22)	2016-03-22	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 67	Sitting 2016-03-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
