Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-11-01-tweedekamer-2	ParlaMint-NL_2016-11-01-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2016-11-01-tweedekamer-2	ParlaMint-NL_2016-11-01-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-11-01-tweedekamer-2	ParlaMint-NL_2016-11-01-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2016-11-01-tweedekamer-2	ParlaMint-NL_2016-11-01-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-11-01-tweedekamer-2	ParlaMint-NL_2016-11-01-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2016-11-01-tweedekamer-2	ParlaMint-NL_2016-11-01-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-11-01-tweedekamer-2	ParlaMint-NL_2016-11-01-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2016-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
