Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u1	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u2	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u3	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u4	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u5	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u6	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u7	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u8	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u9	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u10	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-10-04-eerstekamer-10	ParlaMint-NL_2016-10-04-eerstekamer-10.u11	Report of the meeting of the Dutch Upper House, Meeting 2, Session 10 (2016-10-04)	2016-10-04	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 2	Sitting 2016-10-04	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
