Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-02-11-tweedekamer-8	ParlaMint-NL_2016-02-11-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 54, Session 8 (2016-02-11)	2016-02-11	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 54	Sitting 2016-02-11	-	Reference	English	Regular	MP	notMinister	-	-	-	-	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2016-02-11-tweedekamer-8	ParlaMint-NL_2016-02-11-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 54, Session 8 (2016-02-11)	2016-02-11	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 54	Sitting 2016-02-11	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-02-11-tweedekamer-8	ParlaMint-NL_2016-02-11-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 54, Session 8 (2016-02-11)	2016-02-11	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 54	Sitting 2016-02-11	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-02-11-tweedekamer-8	ParlaMint-NL_2016-02-11-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 54, Session 8 (2016-02-11)	2016-02-11	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 54	Sitting 2016-02-11	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SjoeraDikkers	Dikkers, Sjoera	F	1969	
ParlaMint-NL-en_2016-02-11-tweedekamer-8	ParlaMint-NL_2016-02-11-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 54, Session 8 (2016-02-11)	2016-02-11	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 54	Sitting 2016-02-11	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2016-02-11-tweedekamer-8	ParlaMint-NL_2016-02-11-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 54, Session 8 (2016-02-11)	2016-02-11	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 54	Sitting 2016-02-11	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
