Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-BG-en_2014-10-27-meta.tsv,2014-10-27,1,12,7,0,0
ParlaMint-BG-en_2014-10-29-meta.tsv,2014-10-29,1,18,15,1,0
ParlaMint-BG-en_2014-10-30-meta.tsv,2014-10-30,0,18,12,1,0
ParlaMint-BG-en_2014-10-31-meta.tsv,2014-10-31,0,16,20,2,0
ParlaMint-BG-en_2014-11-05-meta.tsv,2014-11-05,1,18,21,1,0
ParlaMint-BG-en_2014-11-06-meta.tsv,2014-11-06,0,23,18,2,0
ParlaMint-BG-en_2014-11-07-meta.tsv,2014-11-07,0,15,17,1,0
ParlaMint-BG-en_2014-11-12-meta.tsv,2014-11-12,0,12,14,0,0
ParlaMint-BG-en_2014-11-14-meta.tsv,2014-11-14,0,12,19,4,0
ParlaMint-BG-en_2014-11-18-meta.tsv,2014-11-18,0,26,25,2,0
ParlaMint-BG-en_2014-11-19-meta.tsv,2014-11-19,1,19,21,4,0
ParlaMint-BG-en_2014-11-20-meta.tsv,2014-11-20,1,20,23,3,0
ParlaMint-BG-en_2014-11-21-meta.tsv,2014-11-21,1,18,19,4,0
ParlaMint-BG-en_2014-11-26-meta.tsv,2014-11-26,0,12,10,2,0
ParlaMint-BG-en_2014-11-27-meta.tsv,2014-11-27,1,7,9,0,0
ParlaMint-BG-en_2014-11-28-meta.tsv,2014-11-28,1,13,19,3,0
ParlaMint-BG-en_2014-12-03-meta.tsv,2014-12-03,0,19,14,3,0
ParlaMint-BG-en_2014-12-04-meta.tsv,2014-12-04,0,11,16,0,0
ParlaMint-BG-en_2014-12-05-meta.tsv,2014-12-05,1,16,13,3,0
ParlaMint-BG-en_2014-12-08-meta.tsv,2014-12-08,0,31,29,2,0
ParlaMint-BG-en_2014-12-09-meta.tsv,2014-12-09,1,21,21,1,0
ParlaMint-BG-en_2014-12-10-meta.tsv,2014-12-10,0,10,21,3,0
ParlaMint-BG-en_2014-12-11-meta.tsv,2014-12-11,0,7,8,1,0
ParlaMint-BG-en_2014-12-12-meta.tsv,2014-12-12,0,18,19,2,0
ParlaMint-BG-en_2014-12-17-meta.tsv,2014-12-17,0,14,24,3,0
ParlaMint-BG-en_2014-12-18-meta.tsv,2014-12-18,0,18,17,3,0
ParlaMint-BG-en_2014-12-19-meta.tsv,2014-12-19,1,34,35,3,0
ParlaMint-BG-en_2015-01-14-meta.tsv,2015-01-14,0,19,16,0,0
ParlaMint-BG-en_2015-01-15-meta.tsv,2015-01-15,0,20,11,1,0
ParlaMint-BG-en_2015-01-16-meta.tsv,2015-01-16,0,13,13,3,0
ParlaMint-BG-en_2015-01-21-meta.tsv,2015-01-21,0,17,12,3,0
ParlaMint-BG-en_2015-01-22-meta.tsv,2015-01-22,0,13,17,1,0
ParlaMint-BG-en_2015-01-23-meta.tsv,2015-01-23,0,21,17,1,0
ParlaMint-BG-en_2015-01-28-meta.tsv,2015-01-28,0,12,12,1,0
ParlaMint-BG-en_2015-01-29-meta.tsv,2015-01-29,0,11,14,0,0
ParlaMint-BG-en_2015-01-30-meta.tsv,2015-01-30,0,15,16,1,0
ParlaMint-BG-en_2015-02-04-meta.tsv,2015-02-04,0,21,19,1,0
ParlaMint-BG-en_2015-02-05-meta.tsv,2015-02-05,0,19,22,3,0
ParlaMint-BG-en_2015-02-06-meta.tsv,2015-02-06,0,10,23,3,0
ParlaMint-BG-en_2015-02-11-meta.tsv,2015-02-11,0,22,18,5,0
ParlaMint-BG-en_2015-02-12-meta.tsv,2015-02-12,0,10,14,1,0
ParlaMint-BG-en_2015-02-13-meta.tsv,2015-02-13,0,14,16,3,0
ParlaMint-BG-en_2015-02-17-meta.tsv,2015-02-17,0,25,35,6,0
ParlaMint-BG-en_2015-02-18-meta.tsv,2015-02-18,0,21,18,3,0
ParlaMint-BG-en_2015-02-19-meta.tsv,2015-02-19,0,17,17,3,0
ParlaMint-BG-en_2015-02-20-meta.tsv,2015-02-20,0,23,28,1,0
ParlaMint-BG-en_2015-02-25-meta.tsv,2015-02-25,0,23,16,1,0
ParlaMint-BG-en_2015-02-26-meta.tsv,2015-02-26,1,17,20,1,0
ParlaMint-BG-en_2015-02-27-meta.tsv,2015-02-27,1,22,18,1,0
ParlaMint-BG-en_2015-03-04-meta.tsv,2015-03-04,0,18,20,5,0
ParlaMint-BG-en_2015-03-05-meta.tsv,2015-03-05,0,18,14,4,0
ParlaMint-BG-en_2015-03-06-meta.tsv,2015-03-06,0,13,19,3,0
ParlaMint-BG-en_2015-03-11-meta.tsv,2015-03-11,0,19,19,3,0
ParlaMint-BG-en_2015-03-12-meta.tsv,2015-03-12,0,22,18,5,0
ParlaMint-BG-en_2015-03-13-meta.tsv,2015-03-13,1,11,17,3,0
ParlaMint-BG-en_2015-03-18-meta.tsv,2015-03-18,0,12,11,3,0
ParlaMint-BG-en_2015-03-19-meta.tsv,2015-03-19,0,19,19,3,0
ParlaMint-BG-en_2015-03-20-meta.tsv,2015-03-20,1,13,24,3,0
ParlaMint-BG-en_2015-03-25-meta.tsv,2015-03-25,0,12,16,0,0
ParlaMint-BG-en_2015-03-26-meta.tsv,2015-03-26,0,20,19,2,0
ParlaMint-BG-en_2015-03-27-meta.tsv,2015-03-27,2,15,22,2,0
ParlaMint-BG-en_2015-04-01-meta.tsv,2015-04-01,0,23,19,3,0
ParlaMint-BG-en_2015-04-02-meta.tsv,2015-04-02,1,14,14,1,0
ParlaMint-BG-en_2015-04-03-meta.tsv,2015-04-03,1,21,20,0,0
ParlaMint-BG-en_2015-04-08-meta.tsv,2015-04-08,1,18,16,4,0
ParlaMint-BG-en_2015-04-09-meta.tsv,2015-04-09,1,23,10,2,0
ParlaMint-BG-en_2015-04-22-meta.tsv,2015-04-22,0,14,12,1,0
ParlaMint-BG-en_2015-04-23-meta.tsv,2015-04-23,1,9,7,0,0
ParlaMint-BG-en_2015-04-24-meta.tsv,2015-04-24,1,22,20,2,0
ParlaMint-BG-en_2015-04-29-meta.tsv,2015-04-29,0,15,15,1,0
ParlaMint-BG-en_2015-04-30-meta.tsv,2015-04-30,0,15,9,0,0
ParlaMint-BG-en_2015-05-07-meta.tsv,2015-05-07,0,12,13,0,0
ParlaMint-BG-en_2015-05-08-meta.tsv,2015-05-08,1,18,14,2,0
ParlaMint-BG-en_2015-05-13-meta.tsv,2015-05-13,1,24,17,3,0
ParlaMint-BG-en_2015-05-14-meta.tsv,2015-05-14,0,11,16,3,0
ParlaMint-BG-en_2015-05-15-meta.tsv,2015-05-15,0,15,15,3,0
ParlaMint-BG-en_2015-05-20-meta.tsv,2015-05-20,0,19,18,2,0
ParlaMint-BG-en_2015-05-21-meta.tsv,2015-05-21,0,18,12,3,0
ParlaMint-BG-en_2015-05-22-meta.tsv,2015-05-22,0,16,13,1,0
ParlaMint-BG-en_2015-05-26-meta.tsv,2015-05-26,0,11,17,2,0
ParlaMint-BG-en_2015-05-27-meta.tsv,2015-05-27,0,12,10,0,0
ParlaMint-BG-en_2015-05-28-meta.tsv,2015-05-28,1,15,15,1,0
ParlaMint-BG-en_2015-05-29-meta.tsv,2015-05-29,1,16,17,2,0
ParlaMint-BG-en_2015-06-03-meta.tsv,2015-06-03,0,26,17,1,0
ParlaMint-BG-en_2015-06-04-meta.tsv,2015-06-04,0,14,18,1,0
ParlaMint-BG-en_2015-06-10-meta.tsv,2015-06-10,0,24,11,0,0
ParlaMint-BG-en_2015-06-11-meta.tsv,2015-06-11,1,22,14,1,0
ParlaMint-BG-en_2015-06-12-meta.tsv,2015-06-12,0,19,23,1,0
ParlaMint-BG-en_2015-06-16-meta.tsv,2015-06-16,0,18,16,0,0
ParlaMint-BG-en_2015-06-17-meta.tsv,2015-06-17,1,18,15,1,0
ParlaMint-BG-en_2015-06-18-meta.tsv,2015-06-18,0,11,15,1,0
ParlaMint-BG-en_2015-06-19-meta.tsv,2015-06-19,1,16,20,0,0
ParlaMint-BG-en_2015-06-24-meta.tsv,2015-06-24,2,16,17,2,0
ParlaMint-BG-en_2015-06-25-meta.tsv,2015-06-25,0,14,19,2,0
ParlaMint-BG-en_2015-06-26-meta.tsv,2015-06-26,1,18,17,4,0
ParlaMint-BG-en_2015-07-01-meta.tsv,2015-07-01,0,20,14,1,0
ParlaMint-BG-en_2015-07-02-meta.tsv,2015-07-02,0,13,11,0,0
ParlaMint-BG-en_2015-07-03-meta.tsv,2015-07-03,0,11,23,2,0
ParlaMint-BG-en_2015-07-08-meta.tsv,2015-07-08,1,20,17,2,0
ParlaMint-BG-en_2015-07-09-meta.tsv,2015-07-09,0,15,12,1,0
ParlaMint-BG-en_2015-07-10-meta.tsv,2015-07-10,0,20,14,2,0
ParlaMint-BG-en_2015-07-14-meta.tsv,2015-07-14,0,30,21,3,0
ParlaMint-BG-en_2015-07-15-meta.tsv,2015-07-15,0,14,5,2,0
ParlaMint-BG-en_2015-07-16-meta.tsv,2015-07-16,0,14,10,1,0
ParlaMint-BG-en_2015-07-17-meta.tsv,2015-07-17,1,25,18,3,0
ParlaMint-BG-en_2015-07-21-meta.tsv,2015-07-21,0,12,19,1,0
ParlaMint-BG-en_2015-07-22-meta.tsv,2015-07-22,0,12,9,1,0
ParlaMint-BG-en_2015-07-23-meta.tsv,2015-07-23,0,15,10,1,0
ParlaMint-BG-en_2015-07-24-meta.tsv,2015-07-24,1,20,25,2,0
ParlaMint-BG-en_2015-07-28-meta.tsv,2015-07-28,0,30,22,1,0
ParlaMint-BG-en_2015-07-29-meta.tsv,2015-07-29,1,26,21,4,0
ParlaMint-BG-en_2015-07-30-meta.tsv,2015-07-30,0,11,4,0,0
ParlaMint-BG-en_2015-07-31-meta.tsv,2015-07-31,1,21,20,2,0
ParlaMint-BG-en_2015-09-02-meta.tsv,2015-09-02,0,20,17,2,0
ParlaMint-BG-en_2015-09-03-meta.tsv,2015-09-03,0,26,17,4,0
ParlaMint-BG-en_2015-09-04-meta.tsv,2015-09-04,1,13,18,1,0
ParlaMint-BG-en_2015-09-09-meta.tsv,2015-09-09,0,16,11,0,0
ParlaMint-BG-en_2015-09-10-meta.tsv,2015-09-10,0,17,10,1,0
ParlaMint-BG-en_2015-09-11-meta.tsv,2015-09-11,0,12,19,2,0
ParlaMint-BG-en_2015-09-16-meta.tsv,2015-09-16,1,14,9,0,0
ParlaMint-BG-en_2015-09-17-meta.tsv,2015-09-17,1,19,15,2,0
ParlaMint-BG-en_2015-09-18-meta.tsv,2015-09-18,1,7,10,1,0
ParlaMint-BG-en_2015-09-23-meta.tsv,2015-09-23,0,22,18,2,0
ParlaMint-BG-en_2015-09-24-meta.tsv,2015-09-24,0,11,9,2,0
ParlaMint-BG-en_2015-09-25-meta.tsv,2015-09-25,0,19,15,1,0
ParlaMint-BG-en_2015-09-29-meta.tsv,2015-09-29,0,5,3,2,0
ParlaMint-BG-en_2015-09-30-meta.tsv,2015-09-30,0,19,12,1,0
ParlaMint-BG-en_2015-10-01-meta.tsv,2015-10-01,1,11,8,0,0
ParlaMint-BG-en_2015-10-02-meta.tsv,2015-10-02,1,9,16,3,0
ParlaMint-BG-en_2015-10-06-meta.tsv,2015-10-06,0,10,12,2,0
ParlaMint-BG-en_2015-10-07-meta.tsv,2015-10-07,0,24,22,4,0
ParlaMint-BG-en_2015-10-08-meta.tsv,2015-10-08,0,10,11,4,0
ParlaMint-BG-en_2015-10-09-meta.tsv,2015-10-09,1,19,11,0,0
ParlaMint-BG-en_2015-10-28-meta.tsv,2015-10-28,1,16,16,2,0
ParlaMint-BG-en_2015-10-29-meta.tsv,2015-10-29,0,8,7,0,0
ParlaMint-BG-en_2015-11-04-meta.tsv,2015-11-04,0,21,12,1,0
ParlaMint-BG-en_2015-11-05-meta.tsv,2015-11-05,1,21,12,0,0
ParlaMint-BG-en_2015-11-06-meta.tsv,2015-11-06,1,14,18,1,0
ParlaMint-BG-en_2015-11-11-meta.tsv,2015-11-11,0,19,14,0,0
ParlaMint-BG-en_2015-11-12-meta.tsv,2015-11-12,0,13,12,0,0
ParlaMint-BG-en_2015-11-13-meta.tsv,2015-11-13,0,15,13,0,0
ParlaMint-BG-en_2015-11-18-meta.tsv,2015-11-18,0,24,27,0,0
ParlaMint-BG-en_2015-11-19-meta.tsv,2015-11-19,1,20,13,3,0
ParlaMint-BG-en_2015-11-20-meta.tsv,2015-11-20,1,13,13,2,0
ParlaMint-BG-en_2015-11-24-meta.tsv,2015-11-24,0,16,10,2,0
ParlaMint-BG-en_2015-11-25-meta.tsv,2015-11-25,0,20,10,1,0
ParlaMint-BG-en_2015-11-26-meta.tsv,2015-11-26,0,21,13,1,0
ParlaMint-BG-en_2015-11-27-meta.tsv,2015-11-27,1,19,21,4,0
ParlaMint-BG-en_2015-12-01-meta.tsv,2015-12-01,0,24,26,2,0
ParlaMint-BG-en_2015-12-02-meta.tsv,2015-12-02,0,33,28,3,0
ParlaMint-BG-en_2015-12-03-meta.tsv,2015-12-03,0,22,16,1,0
ParlaMint-BG-en_2015-12-04-meta.tsv,2015-12-04,0,26,18,1,0
ParlaMint-BG-en_2015-12-09-meta.tsv,2015-12-09,0,16,16,2,0
ParlaMint-BG-en_2015-12-10-meta.tsv,2015-12-10,0,17,12,0,0
ParlaMint-BG-en_2015-12-11-meta.tsv,2015-12-11,0,16,10,2,0
ParlaMint-BG-en_2015-12-15-meta.tsv,2015-12-15,0,6,9,0,0
ParlaMint-BG-en_2015-12-16-meta.tsv,2015-12-16,0,18,10,0,0
ParlaMint-BG-en_2015-12-17-meta.tsv,2015-12-17,0,18,18,1,0
ParlaMint-BG-en_2015-12-18-meta.tsv,2015-12-18,1,20,23,3,0
ParlaMint-BG-en_2016-01-13-meta.tsv,2016-01-13,1,19,14,1,0
ParlaMint-BG-en_2016-01-14-meta.tsv,2016-01-14,1,20,16,4,0
