Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89446	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ArlovićMato	Arlović, Mato	M	1952	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89447	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89448	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ArlovićMato	Arlović, Mato	M	1952	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89449	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89450	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ArlovićMato	Arlović, Mato	M	1952	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89451	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	SesvečanDamir	Sesvečan, Damir	M	1967	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89452	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ArlovićMato	Arlović, Mato	M	1952	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89453	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	SesvečanDamir	Sesvečan, Damir	M	1967	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89454	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ArlovićMato	Arlović, Mato	M	1952	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89455	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Regular	MP	notMinister	HSP	Hrvatska stranka prava	Coalition	Far-right	KovačevićPero	Kovačević, Pero	M	1957	
ParlaMint-HR-en_2007-06-01-0	ParlaMint-HR_2007-06-01-0.u89456	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 25	2007-06-01	Unicameralism	5. mandat	-	Zasedanje 25	2007-06-01	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ArlovićMato	Arlović, Mato	M	1952	
