Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΓΕΩΡΓΙΑΔΗΣ_ΑΘΑΝΑΣΙΟΥ_ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ	Geōrgiadīs, Spyridōn Adōnis	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΓΕΩΡΓΙΑΔΗΣ_ΑΘΑΝΑΣΙΟΥ_ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ	Geōrgiadīs, Spyridōn Adōnis	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΓΙΟΓΙΑΚΑΣ_ΝΙΚΟΛΑΟΥ_ΒΑΣΙΛΕΙΟΣ	Giogiakas, Vasileios	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΓΙΟΓΙΑΚΑΣ_ΝΙΚΟΛΑΟΥ_ΒΑΣΙΛΕΙΟΣ	Giogiakas, Vasileios	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2015-08-05-S1-commons	ParlaMint-GR_2015-08-05-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 84, 2015-08-05	2015-08-05	Unicameralism	16	1	-	84	-	Reference	English	Regular	MP	notMinister	Ch.A.	Popular Association – Golden Dawn	Opposition	Far-right	ΚΑΣΙΔΙΑΡΗΣ_ΠΑΝΑΓΙΩΤΗ_ΗΛΙΑΣ	Kasidiarīs, Īlias	M	-	
