Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΤΣΙΠΡΑΣ_ΠΑΥΛΟΥ_ΑΛΕΞΙΟΣ	Tsipras, Alexios	M	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΤΡΑΓΑΚΗΣ_ΠΑΝΑΓΙΩΤΗ_ΙΩΑΝΝΗΣ	Tragakīs, Iōannīs	M	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΤΣΙΠΡΑΣ_ΠΑΥΛΟΥ_ΑΛΕΞΙΟΣ	Tsipras, Alexios	M	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΠΑΝΤΖΑΣ_ΣΠΥΡΙΔΩΝΟΣ-ΑΡΙΣΤΟΤΕΛΗ_ΓΕΩΡΓΙΟΣ	Pantzas, Geōrgios	M	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΤΣΙΠΡΑΣ_ΠΑΥΛΟΥ_ΑΛΕΞΙΟΣ	Tsipras, Alexios	M	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-02-08-S1-commons	ParlaMint-GR_2015-02-08-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 4, 2015-02-08	2015-02-08	Unicameralism	16	1	-	4	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
