Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2015-08-21-S1-commons	ParlaMint-GR_2015-08-21-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 87, 2015-08-21	2015-08-21	Unicameralism	16	1	-	87	-	Reference	English	Chairperson	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-08-21-S1-commons	ParlaMint-GR_2015-08-21-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 87, 2015-08-21	2015-08-21	Unicameralism	16	1	-	87	-	Reference	English	Regular	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΖΑΝΝΑΣ_ΓΡΗΓΟΡΙΟΥ_ΖΗΣΗΣ	Zannas, Zīsīs	M	-	
ParlaMint-GR-en_2015-08-21-S1-commons	ParlaMint-GR_2015-08-21-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 87, 2015-08-21	2015-08-21	Unicameralism	16	1	-	87	-	Reference	English	Chairperson	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-08-21-S1-commons	ParlaMint-GR_2015-08-21-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 87, 2015-08-21	2015-08-21	Unicameralism	16	1	-	87	-	Reference	English	Chairperson	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-08-21-S1-commons	ParlaMint-GR_2015-08-21-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 87, 2015-08-21	2015-08-21	Unicameralism	16	1	-	87	-	Reference	English	Chairperson	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
ParlaMint-GR-en_2015-08-21-S1-commons	ParlaMint-GR_2015-08-21-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 87, 2015-08-21	2015-08-21	Unicameralism	16	1	-	87	-	Reference	English	Chairperson	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΧΑΡΑΛΑΜΠΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΔΕΣΠΟΙΝΑ	Charalampidoy, Despoina	F	-	
