Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-06-16-024-XXIV-NRSITZ-00111	ParlaMint-AT_2011-06-16-024-XXIV-NRSITZ-00111_d7e352	Sitting Number 111, Legislative period XXIV, Thursday, 16. June 2011	2011-06-16	Lower house	Legislative period XXIV	-	-	Sitting 111	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-06-16-024-XXIV-NRSITZ-00111	ParlaMint-AT_2011-06-16-024-XXIV-NRSITZ-00111_d7e383	Sitting Number 111, Legislative period XXIV, Thursday, 16. June 2011	2011-06-16	Lower house	Legislative period XXIV	-	-	Sitting 111	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-06-16-024-XXIV-NRSITZ-00111	ParlaMint-AT_2011-06-16-024-XXIV-NRSITZ-00111_d7e634	Sitting Number 111, Legislative period XXIV, Thursday, 16. June 2011	2011-06-16	Lower house	Legislative period XXIV	-	-	Sitting 111	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
