Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-12-06-024-XXIV-NRSITZ-00136	ParlaMint-AT_2011-12-06-024-XXIV-NRSITZ-00136_d7e531	Sitting Number 136, Legislative period XXIV, Tuesday, 6. December 2011	2011-12-06	Lower house	Legislative period XXIV	-	-	Sitting 136	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-12-06-024-XXIV-NRSITZ-00136	ParlaMint-AT_2011-12-06-024-XXIV-NRSITZ-00136_d7e568	Sitting Number 136, Legislative period XXIV, Tuesday, 6. December 2011	2011-12-06	Lower house	Legislative period XXIV	-	-	Sitting 136	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-12-06-024-XXIV-NRSITZ-00136	ParlaMint-AT_2011-12-06-024-XXIV-NRSITZ-00136_d7e833	Sitting Number 136, Legislative period XXIV, Tuesday, 6. December 2011	2011-12-06	Lower house	Legislative period XXIV	-	-	Sitting 136	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
