Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-01-21-024-XXIV-NRSITZ-00094	ParlaMint-AT_2011-01-21-024-XXIV-NRSITZ-00094_d7e370	Sitting Number 94, Legislative period XXIV, Friday, 21. January 2011	2011-01-21	Lower house	Legislative period XXIV	-	-	Sitting 94	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-01-21-024-XXIV-NRSITZ-00094	ParlaMint-AT_2011-01-21-024-XXIV-NRSITZ-00094_d7e404	Sitting Number 94, Legislative period XXIV, Friday, 21. January 2011	2011-01-21	Lower house	Legislative period XXIV	-	-	Sitting 94	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-01-21-024-XXIV-NRSITZ-00094	ParlaMint-AT_2011-01-21-024-XXIV-NRSITZ-00094_d7e679	Sitting Number 94, Legislative period XXIV, Friday, 21. January 2011	2011-01-21	Lower house	Legislative period XXIV	-	-	Sitting 94	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
