Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-11-18-024-XXIV-NRSITZ-00134	ParlaMint-AT_2011-11-18-024-XXIV-NRSITZ-00134_d7e333	Sitting Number 134, Legislative period XXIV, Friday, 18. November 2011	2011-11-18	Lower house	Legislative period XXIV	-	-	Sitting 134	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2011-11-18-024-XXIV-NRSITZ-00134	ParlaMint-AT_2011-11-18-024-XXIV-NRSITZ-00134_d7e364	Sitting Number 134, Legislative period XXIV, Friday, 18. November 2011	2011-11-18	Lower house	Legislative period XXIV	-	-	Sitting 134	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2011-11-18-024-XXIV-NRSITZ-00134	ParlaMint-AT_2011-11-18-024-XXIV-NRSITZ-00134_d7e507	Sitting Number 134, Legislative period XXIV, Friday, 18. November 2011	2011-11-18	Lower house	Legislative period XXIV	-	-	Sitting 134	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
