Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-09-13-024-XXIV-NRSITZ-00117	ParlaMint-AT_2011-09-13-024-XXIV-NRSITZ-00117_d7e349	Sitting Number 117, Legislative period XXIV, Tuesday, 13. September 2011	2011-09-13	Lower house	Legislative period XXIV	-	-	Sitting 117	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-09-13-024-XXIV-NRSITZ-00117	ParlaMint-AT_2011-09-13-024-XXIV-NRSITZ-00117_d7e380	Sitting Number 117, Legislative period XXIV, Tuesday, 13. September 2011	2011-09-13	Lower house	Legislative period XXIV	-	-	Sitting 117	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-09-13-024-XXIV-NRSITZ-00117	ParlaMint-AT_2011-09-13-024-XXIV-NRSITZ-00117_d7e521	Sitting Number 117, Legislative period XXIV, Tuesday, 13. September 2011	2011-09-13	Lower house	Legislative period XXIV	-	-	Sitting 117	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
