Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-10-20-024-XXIV-NRSITZ-00125	ParlaMint-AT_2011-10-20-024-XXIV-NRSITZ-00125_d7e333	Sitting Number 125, Legislative period XXIV, Thursday, 20. October 2011	2011-10-20	Lower house	Legislative period XXIV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2011-10-20-024-XXIV-NRSITZ-00125	ParlaMint-AT_2011-10-20-024-XXIV-NRSITZ-00125_d7e364	Sitting Number 125, Legislative period XXIV, Thursday, 20. October 2011	2011-10-20	Lower house	Legislative period XXIV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2011-10-20-024-XXIV-NRSITZ-00125	ParlaMint-AT_2011-10-20-024-XXIV-NRSITZ-00125_d7e548	Sitting Number 125, Legislative period XXIV, Thursday, 20. October 2011	2011-10-20	Lower house	Legislative period XXIV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
