Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-09-30-024-XXIV-NRSITZ-00121	ParlaMint-AT_2011-09-30-024-XXIV-NRSITZ-00121_d7e367	Sitting Number 121, Legislative period XXIV, Friday, 30. September 2011	2011-09-30	Lower house	Legislative period XXIV	-	-	Sitting 121	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-09-30-024-XXIV-NRSITZ-00121	ParlaMint-AT_2011-09-30-024-XXIV-NRSITZ-00121_d7e401	Sitting Number 121, Legislative period XXIV, Friday, 30. September 2011	2011-09-30	Lower house	Legislative period XXIV	-	-	Sitting 121	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-09-30-024-XXIV-NRSITZ-00121	ParlaMint-AT_2011-09-30-024-XXIV-NRSITZ-00121_d7e541	Sitting Number 121, Legislative period XXIV, Friday, 30. September 2011	2011-09-30	Lower house	Legislative period XXIV	-	-	Sitting 121	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
