Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-09-21-024-XXIV-NRSITZ-00119	ParlaMint-AT_2011-09-21-024-XXIV-NRSITZ-00119_d7e342	Sitting Number 119, Legislative period XXIV, Wednesday, 21. September 2011	2011-09-21	Lower house	Legislative period XXIV	-	-	Sitting 119	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-09-21-024-XXIV-NRSITZ-00119	ParlaMint-AT_2011-09-21-024-XXIV-NRSITZ-00119_d7e370	Sitting Number 119, Legislative period XXIV, Wednesday, 21. September 2011	2011-09-21	Lower house	Legislative period XXIV	-	-	Sitting 119	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-09-21-024-XXIV-NRSITZ-00119	ParlaMint-AT_2011-09-21-024-XXIV-NRSITZ-00119_d7e436	Sitting Number 119, Legislative period XXIV, Wednesday, 21. September 2011	2011-09-21	Lower house	Legislative period XXIV	-	-	Sitting 119	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-09-21-024-XXIV-NRSITZ-00119	ParlaMint-AT_2011-09-21-024-XXIV-NRSITZ-00119_d7e646	Sitting Number 119, Legislative period XXIV, Wednesday, 21. September 2011	2011-09-21	Lower house	Legislative period XXIV	-	-	Sitting 119	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
