Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-11-15-024-XXIV-NRSITZ-00131	ParlaMint-AT_2011-11-15-024-XXIV-NRSITZ-00131_d7e361	Sitting Number 131, Legislative period XXIV, Tuesday, 15. November 2011	2011-11-15	Lower house	Legislative period XXIV	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-11-15-024-XXIV-NRSITZ-00131	ParlaMint-AT_2011-11-15-024-XXIV-NRSITZ-00131_d7e392	Sitting Number 131, Legislative period XXIV, Tuesday, 15. November 2011	2011-11-15	Lower house	Legislative period XXIV	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-11-15-024-XXIV-NRSITZ-00131	ParlaMint-AT_2011-11-15-024-XXIV-NRSITZ-00131_d7e579	Sitting Number 131, Legislative period XXIV, Tuesday, 15. November 2011	2011-11-15	Lower house	Legislative period XXIV	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
