Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-04-29-024-XXIV-NRSITZ-00104	ParlaMint-AT_2011-04-29-024-XXIV-NRSITZ-00104_d7e674	Sitting Number 104, Legislative period XXIV, Friday, 29. April 2011	2011-04-29	Lower house	Legislative period XXIV	-	-	Sitting 104	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2011-04-29-024-XXIV-NRSITZ-00104	ParlaMint-AT_2011-04-29-024-XXIV-NRSITZ-00104_d7e705	Sitting Number 104, Legislative period XXIV, Friday, 29. April 2011	2011-04-29	Lower house	Legislative period XXIV	-	-	Sitting 104	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2011-04-29-024-XXIV-NRSITZ-00104	ParlaMint-AT_2011-04-29-024-XXIV-NRSITZ-00104_d7e1001	Sitting Number 104, Legislative period XXIV, Friday, 29. April 2011	2011-04-29	Lower house	Legislative period XXIV	-	-	Sitting 104	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
