Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-12-07-024-XXIV-NRSITZ-00138	ParlaMint-AT_2011-12-07-024-XXIV-NRSITZ-00138_d7e464	Sitting Number 138, Legislative period XXIV, Wednesday, 7. December 2011	2011-12-07	Lower house	Legislative period XXIV	-	-	Sitting 138	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-12-07-024-XXIV-NRSITZ-00138	ParlaMint-AT_2011-12-07-024-XXIV-NRSITZ-00138_d7e498	Sitting Number 138, Legislative period XXIV, Wednesday, 7. December 2011	2011-12-07	Lower house	Legislative period XXIV	-	-	Sitting 138	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-12-07-024-XXIV-NRSITZ-00138	ParlaMint-AT_2011-12-07-024-XXIV-NRSITZ-00138_d7e834	Sitting Number 138, Legislative period XXIV, Wednesday, 7. December 2011	2011-12-07	Lower house	Legislative period XXIV	-	-	Sitting 138	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
