Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-03-31-024-XXIV-NRSITZ-00101	ParlaMint-AT_2011-03-31-024-XXIV-NRSITZ-00101_d7e394	Sitting Number 101, Legislative period XXIV, Thursday, 31. March 2011	2011-03-31	Lower house	Legislative period XXIV	-	-	Sitting 101	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-03-31-024-XXIV-NRSITZ-00101	ParlaMint-AT_2011-03-31-024-XXIV-NRSITZ-00101_d7e425	Sitting Number 101, Legislative period XXIV, Thursday, 31. March 2011	2011-03-31	Lower house	Legislative period XXIV	-	-	Sitting 101	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-03-31-024-XXIV-NRSITZ-00101	ParlaMint-AT_2011-03-31-024-XXIV-NRSITZ-00101_d7e666	Sitting Number 101, Legislative period XXIV, Thursday, 31. March 2011	2011-03-31	Lower house	Legislative period XXIV	-	-	Sitting 101	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
