Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-10-20-024-XXIV-NRSITZ-00127	ParlaMint-AT_2011-10-20-024-XXIV-NRSITZ-00127_d7e333	Sitting Number 127, Legislative period XXIV, Thursday, 20. October 2011	2011-10-20	Lower house	Legislative period XXIV	-	-	Sitting 127	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-10-20-024-XXIV-NRSITZ-00127	ParlaMint-AT_2011-10-20-024-XXIV-NRSITZ-00127_d7e364	Sitting Number 127, Legislative period XXIV, Thursday, 20. October 2011	2011-10-20	Lower house	Legislative period XXIV	-	-	Sitting 127	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2011-10-20-024-XXIV-NRSITZ-00127	ParlaMint-AT_2011-10-20-024-XXIV-NRSITZ-00127_d7e434	Sitting Number 127, Legislative period XXIV, Thursday, 20. October 2011	2011-10-20	Lower house	Legislative period XXIV	-	-	Sitting 127	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
